NOME_BARRAGEM_MINERACAO,NOME_DO_EMPREENDEDOR,CPF_CNPJ,LATITUDE,LONGITUDE,POSICIONAMENTO,UF,MUNICIPIO,MINERIO_PRINCIPAL,ALTURA_ATUAL_metros,VOLUME_ATUAL_m3,CATEGORIA_DE_RISCO,DANO_POTENCIAL_ASSOCIADO,CLASSE,INSERIDA_NA_PNSB
Barragem RG2W,Mineração Serras do Oeste Eireli,28.917.748/0001-72,"-19º57'29,710""","-43º38'05,312""",Sul do Equador,MG,CAETÉ,Minério de Ouro Primário,61.00,"550,645.00",Baixa,Média,C,Sim
Barragem Samambaia 0 (Zero),Mineração Usiminas S.a.,12.056.613/0001-20,"-20º10'22,518""","-44º26'54,771""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,46.00,"7,545,160.00",Baixa,Alta,B,Sim
Barragem Santo Antônio,Kinross Brasil Mineração S A,20.346.524/0001-46,"-17º08'46,800""","-46º51'22,540""",Sul do Equador,MG,PARACATU,Minério de Ouro Primário,104.00,"399,058,945.00",Baixa,Alta,B,Sim
BARRAGEM SERRINHA,Ferrous Resources do Brasil Sa,08.852.207/0001-04,"-20º10'28,800""","-43º58'33,600""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,4.00,"100,000.00",Baixa,Média,C,Sim
Bocaina,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º26'26,440""","-43º47'24,160""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,56.00,"955,000.00",Baixa,Alta,B,Sim
Borrachudo,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º36'33,516""","-43º15'48,177""",Sul do Equador,MG,ITABIRA,Minério de Ferro,6.00,"190,000.00",Baixa,Alta,B,Sim
Cachoeirinha,Vallourec Mineração Ltda,22.931.380/0001-10,"-20º09'09,800""","-43º57'55,600""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,45.00,"2,850,833.82",Baixa,Alta,B,Sim
CALCINADOS,Anglogold Ashanti Córrego do Sítio Mineração S.a.,18.565.382/0001-66,"-19º57'49,000""","-43º50'20,000""",Sul do Equador,MG,NOVA LIMA,Minério de Ouro Primário,57.00,"3,397,349.00",Baixa,Alta,B,Sim
Califórnia,Nacional de Grafite Ltda,21.228.861/0001-00,"-16º12'27,500""","-39º56'49,000""",Sul do Equador,MG,SALTO DA DIVISA,Xisto,25.50,"3,000,000.00",Baixa,Alta,B,Sim
Cambucal I,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º38'26,316""","-43º14'29,320""",Sul do Equador,MG,ITABIRA,Minério de Ferro,15.40,"220,841.00",Baixa,Alta,B,Sim
Cambucal II,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º38'44,132""","-43º14'32,010""",Sul do Equador,MG,ITABIRA,Minério de Ferro,21.30,"157,082.00",Baixa,Alta,B,Sim
Campo Grande,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º10'33,845""","-43º29'14,340""",Sul do Equador,MG,MARIANA,Minério de Ferro,99.30,"22,978,889.00",Baixa,Alta,B,Sim
Capão da Serra,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º04'07,200""","-43º55'50,100""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,47.00,"2,230,000.00",Baixa,Alta,B,Sim
Capim Branco,Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba,33.417.445/0026-89,"-20º06'29,782""","-44º04'25,204""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,27.00,"470,000.00",Baixa,Alta,B,Sim
Capitão do Mato,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º07'47,600""","-43º55'32,500""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,36.00,"2,136,495.00",Baixa,Alta,B,Sim
CAVA B,Galvani Indústria Comércio e Serviços S.a. Filial: Roberto Eustáquio Silva Pedrosa,00.546.997/0002-60,"-18º16'47,500""","-46º51'43,600""",Sul do Equador,MG,LAGAMAR,Fosfato,21.00,"1,890,000.00",Baixa,Baixa,E,Sim
CAVA C,Galvani Indústria Comércio e Serviços S.a. Filial: Roberto Eustáquio Silva Pedrosa,00.546.997/0002-60,"-18º15'13,200""","-46º50'27,700""",Sul do Equador,MG,LAGAMAR,Fosfato,48.00,"2,817,000.00",Baixa,Baixa,E,Sim
Cemig I,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º34'32,225""","-43º12'17,125""",Sul do Equador,MG,ITABIRA,Minério de Ferro,32.50,"8,795,438.00",Baixa,Alta,B,Sim
Cemig II,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º34'21,721""","-43º11'51,131""",Sul do Equador,MG,ITABIRA,Minério de Ferro,22.35,"870,558.00",Baixa,Alta,B,Sim
Cianita 1,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º11'47,700""","-43º52'01,500""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,23.05,"450,000.00",Baixa,Alta,B,Sim
Clarificação Bocaina,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º26'28,390""","-43º47'04,200""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,21.00,"9,126.00",Baixa,Alta,B,Sim
Cobras,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º07'58,744""","-43º24'37,294""",Sul do Equador,MG,CATAS ALTAS,Minério de Ferro,13.45,"20,000.00",Baixa,Média,C,Sim
COCURUTO,Anglogold Ashanti Córrego do Sítio Mineração S.a.,18.565.382/0001-66,"-19º58'25,000""","-43º49'46,000""",Sul do Equador,MG,NOVA LIMA,Minério de Ouro Primário,41.00,"4,240,553.00",Baixa,Alta,B,Sim
Conceição,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º38'51,300""","-43º16'26,900""",Sul do Equador,MG,ITABIRA,Minério de Ferro,60.00,"35,874,318.00",Baixa,Alta,B,Sim
CONTENÇÃO DE FINOS DE CDS I,Anglogold Ashanti Córrego do Sítio Mineração S.a.,18.565.382/0001-66,"-20º01'09,000""","-43º29'34,000""",Sul do Equador,MG,SANTA BÁRBARA,Filito,13.00,"260,000.00",Baixa,Alta,B,Sim
CONTENÇÃO DE REJEITOS DE CDS II,Anglogold Ashanti Córrego do Sítio Mineração S.a.,18.565.382/0001-66,"-19º59'05,000""","-43º28'17,000""",Sul do Equador,MG,SANTA BÁRBARA,Minério de Ouro Primário,82.00,"7,907,500.00",Baixa,Alta,B,Sim
CONTENÇÃO DE REJEITOS DE CUIABÁ,Anglogold Ashanti Córrego do Sítio Mineração S.a.,18.565.382/0001-66,"-19º51'56,815""","-43º43'39,215""",Sul do Equador,MG,SABARÁ,Minério de Ouro Primário,90.00,"7,429,355.00",Baixa,Alta,B,Sim
Dicão,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º52'29,203""","-43º22'47,022""",Sul do Equador,MG,SÃO GONÇALO DO RIO ABAIXO,Minério de Ferro,32.70,"989,786.00",Baixa,Alta,B,Sim
Dicão Leste,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º08'21,443""","-43º24'44,399""",Sul do Equador,MG,CATAS ALTAS,Minério de Ferro,22.50,"150,000.00",Baixa,Média,C,Sim
Diogo,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º55'47,792""","-43º11'46,298""",Sul do Equador,MG,RIO PIRACICABA,Minério de Ferro,39.00,"6,571,347.70",Baixa,Alta,B,Sim
Dique 01,Companhia de Mineração Serra Azul Comisa,03.405.415/0001-33,"-20º07'05,850""","-44º19'11,450""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,15.00,100.00,Baixa,Média,C,Sim
Dique 02,Companhia de Mineração Serra Azul Comisa,03.405.415/0001-33,"-20º07'15,440""","-44º19'22,200""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,20.00,400.00,Baixa,Média,C,Sim
Dique B - Pilha de Estéril Alegria E (Dique Oficina),Samarco Mineração S A.,16.628.281/0001-61,"-20º11'21,588""","-43º30'31,953""",Sul do Equador,MG,OURO PRETO,Sedimentos,15.00,"12,600.00",Baixa,Média,C,Sim
Dique B3 Ipê,Emicon Mineração e Terraplenagem LTDA.,16.679.953/0001-68,"-20º07'09,700""","-44º18'57,400""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,23.50,"10,010,305.00",Média,Média,C,Sim
Dique B4 Ipê,Emicon Mineração e Terraplenagem LTDA.,16.679.953/0001-68,"-20º07'03,300""","-44º19'01,900""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,25.00,"6,053.00",Baixa,Baixa,E,Sim
DIQUE BATATEIRO DE BAIXO,Csn Mineração S.a.,08.902.291/0001-15,"-20º28'52,345""","-43º55'20,521""",Sul do Equador,MG,CONGONHAS,Cascalho,16.00,"18,300.00",Baixa,Baixa,E,Sim
Dique BIII-2,Mbl Materiais Básicos Ltda,19.543.206/0001-96,"-20º08'54,160""","-44º27'35,942""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,9.00,"19,765.55",Média,Média,C,Sim
Dique BIII-3,Mbl Materiais Básicos Ltda,19.543.206/0001-96,"-20º08'51,941""","-44º27'36,371""",Sul do Equador,MG,ITAÚNA,Minério de Ferro,17.00,"24,103.39",Média,Média,C,Sim
Dique BIII-4,Mbl Materiais Básicos Ltda,19.543.206/0001-96,"-20º08'48,397""","-44º27'37,003""",Sul do Equador,MG,ITAÚNA,Minério de Ferro,6.00,6.00,Média,Média,C,Sim
Dique BIII-5,Mbl Materiais Básicos Ltda,19.543.206/0001-96,"-20º08'47,133""","-44º27'38,419""",Sul do Equador,MG,ITAÚNA,Minério de Ferro,4.00,11.00,Média,Média,C,Sim
Dique Couves (MBL),Mineração Usiminas S.a.,12.056.613/0001-20,"-20º09'16,000""","-44º26'47,000""",Sul do Equador,MG,ITATIAIUÇU,Argila Arenosa,24.00,"13,241.00",Baixa,Média,C,Sim
DIQUE D,Brasmic Mineração Areia e Brita Ltda,22.470.777/0001-52,"-19º59'08,000""","-44º07'17,300""",Sul do Equador,MG,BETIM,Areia e Cascalho,23.00,"1,540,000.00",Baixa,Alta,B,Sim
DIQUE DA PILHA DA VILA II,Csn Mineração S.a.,08.902.291/0001-15,"-20º27'08,000""","-43º53'59,000""",Sul do Equador,MG,CONGONHAS,Cascalho,28.00,"18,556.00",Baixa,Baixa,E,Sim
Dique de Contenção de Sedimentos 01,Anglo American Minério de Ferro Brasil S.a,02.359.572/0004-30,"-18º53'57,000""","-43º24'30,000""",Sul do Equador,MG,CONCEIÇÃO DO MATO DENTRO,Minério de Ferro,12.00,"318,425.00",Baixa,Média,C,Sim
Dique de Contenção de Sedimentos 02,Anglo American Minério de Ferro Brasil S.a,02.359.572/0004-30,"-18º53'23,000""","-43º24'19,000""",Sul do Equador,MG,CONCEIÇÃO DO MATO DENTRO,Minério de Ferro,12.00,"634,140.00",Baixa,Média,C,Sim
Dique de Contenção de Sedimentos 03,Anglo American Minério de Ferro Brasil S.a,02.359.572/0004-30,"-18º55'14,984""","-43º24'23,663""",Sul do Equador,MG,CONCEIÇÃO DO MATO DENTRO,Sedimentos,15.50,"473,452.00",Baixa,Alta,B,Sim
Dique de Contenção de Sedimentos 04,Anglo American Minério de Ferro Brasil S.a,02.359.572/0004-30,"-18º55'54,000""","-43º24'06,000""",Sul do Equador,MG,CONCEIÇÃO DO MATO DENTRO,Sedimentos,14.60,"81,360.90",Baixa,Média,C,Sim
DIQUE DO BICHENTO IIIA,Csn Mineração S.a.,08.902.291/0001-15,"-20º29'06,000""","-43º56'00,000""",Sul do Equador,MG,CONGONHAS,Cascalho,15.50,"116,696.00",Baixa,Baixa,E,Sim
DIQUE DO ENGENHO,Nacional Minerios Sa,08.446.702/0001-05,"-20º27'23,300""","-43º53'40,100""",Sul do Equador,MG,CONGONHAS,Cascalho,10.00,"8,821.00",Baixa,Média,C,Sim
DIQUE DO ESMERIL IV,Csn Mineração S.a.,08.902.291/0001-15,"-20º29'07,000""","-43º57'18,000""",Sul do Equador,MG,CONGONHAS,Cascalho,38.00,"282,079.00",Baixa,Alta,B,Sim
Dique Lisa,Vallourec Mineração Ltda,22.931.380/0001-10,"-20º08'59,100""","-43º57'52,500""",Sul do Equador,MG,NOVA LIMA,Areia e Cascalho,12.00,"45,562.87",Baixa,Alta,B,Sim
Dique Norte da PDE 1,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º18'06,730""","-43º55'22,890""",Sul do Equador,MG,ITABIRITO,Dolomito,25.00,"25,200.00",Baixa,Média,C,Sim
Dique Oeste,Mineração Usiminas S.a.,12.056.613/0001-20,"-20º10'15,500""","-44º27'16,500""",Sul do Equador,MG,ITATIAIUÇU,Argila Arenosa,16.70,"85,000.00",Baixa,Baixa,E,Sim
Dique S3,Samarco Mineração S A.,16.628.281/0001-61,"-20º14'09,149""","-43º25'22,771""",Sul do Equador,MG,MARIANA,Sedimentos,12.00,"2,950,000.00",Baixa,Alta,B,Sim
Dique S4,Samarco Mineração S A.,16.628.281/0001-61,"-20º14'28,600""","-43º24'39,193""",Sul do Equador,MG,MARIANA,Sedimentos,12.50,"1,006,318.00",Baixa,Alta,B,Sim
Doutor,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º17'25,615""","-43º29'25,900""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,77.00,"37,683,207.40",Baixa,Alta,B,Sim
EB-2,Anglo American Minério de Ferro Brasil S.a,02.359.572/0004-30,"-20º20'41,300""","-42º33'42,800""",Sul do Equador,MG,SANTO ANTÔNIO DO GRAMA,Minério de Ferro,50.00,"204,000.00",Baixa,Baixa,E,Sim
Elefante,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º55'56,851""","-43º12'33,168""",Sul do Equador,MG,RIO PIRACICABA,Minério de Ferro,17.00,"201,441.00",Baixa,Baixa,E,Sim
Fernandinho,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º10'59,900""","-43º51'34,200""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,19.00,"1,020,000.00",Baixa,Baixa,E,Sim
Forquilha I,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º24'21,800""","-43º51'20,600""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,98.28,"12,042,671.00",Baixa,Alta,B,Sim
Forquilha II,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º24'29,800""","-43º51'06,500""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,95.76,"20,862,740.00",Baixa,Alta,B,Sim
Forquilha III,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º24'39,300""","-43º50'11,800""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,77.00,"23,143,107.62",Baixa,Alta,B,Sim
Forquilha IV,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º23'41,200""","-43º51'05,600""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,100.00,"4,108,399.60",Baixa,Alta,B,Sim
Freitas,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º25'55,900""","-43º50'58,400""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,7.50,"45,000.00",Baixa,Média,C,Sim
Galego,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º51'25,900""","-43º48'16,300""",Sul do Equador,MG,SABARÁ,Minério de Ferro,37.28,"974,151.38",Baixa,Alta,B,Sim
Grupo,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º24'53,200""","-43º51'54,500""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,43.00,"800,000.00",Baixa,Alta,B,Sim
I,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º07'08,800""","-44º07'12,900""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,86.00,"11,741,325.34",Baixa,Alta,B,Sim
II,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º09'10,400""","-43º53'18,300""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,20.00,"18,241.00",Baixa,Baixa,E,Sim
III,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º09'20,500""","-43º53'13,600""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,11.00,"16,846.00",Baixa,Média,C,Sim
Itabiruçu,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º41'07,300""","-43º17'10,400""",Sul do Equador,MG,ITABIRA,Minério de Ferro,71.00,"130,751,697.30",Baixa,Alta,B,Sim
Itamarati de Minas,Companhia Brasileira de Alumínio,61.409.892/0001-73,"-21º27'18,809""","-42º52'17,972""",Sul do Equador,MG,ITAMARATI DE MINAS,Bauxita Grau Metalúrgico,38.00,"13,820,000.00",Baixa,Alta,B,Sim
IV,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º08'12,200""","-44º07'13,300""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,13.40,"238,000.00",Baixa,Alta,B,Sim
IV-A,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º08'22,200""","-44º07'23,100""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,14.00,"130,000.00",Baixa,Alta,B,Sim
Jirau,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º34'13,730""","-43º13'53,604""",Sul do Equador,MG,ITABIRA,Minério de Ferro,15.00,"1,400,000.00",Baixa,Baixa,E,Sim
Lavra Azul,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º07'03,986""","-43º24'27,553""",Sul do Equador,MG,CATAS ALTAS,Minério de Ferro,19.10,"10,000.00",Baixa,Média,C,Sim
Maravilhas I,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º13'29,700""","-43º52'23,600""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,12.00,"1,860,000.00",Baixa,Média,C,Sim
Maravilhas II,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º12'51,900""","-43º53'30,100""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,97.92,"91,925,622.00",Baixa,Alta,B,Sim
Marçu,Nacional de Grafite Ltda,21.228.861/0001-00,"-15º53'19,800""","-41º03'36,800""",Sul do Equador,MG,PEDRA AZUL,Xisto,37.00,"156,260.00",Baixa,Média,C,Sim
Marés I,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º25'31,000""","-43º55'40,300""",Sul do Equador,MG,BELO VALE,Minério de Ferro,12.70,"15,000.00",Baixa,Alta,B,Sim
Marés II,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º26'02,200""","-43º55'53,600""",Sul do Equador,MG,BELO VALE,Minério de Ferro,16.05,"241,000.00",Baixa,Alta,B,Sim
Menezes I,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º07'10,700""","-44º08'21,200""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,16.85,"8,068.00",Baixa,Baixa,E,Sim
Menezes II,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º07'41,100""","-44º08'17,800""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,21.00,"290,202.16",Baixa,Alta,B,Sim
Miraí,Companhia Brasileira de Alumínio,61.409.892/0001-73,"-21º03'43,757""","-42º33'49,546""",Sul do Equador,MG,MIRAÍ,Bauxita Grau Metalúrgico,52.00,"31,598,100.00",Baixa,Alta,B,Sim
Moita,Mineração Serras do Oeste Eireli,28.917.748/0001-72,"-19º56'05,733""","-43º38'56,601""",Sul do Equador,MG,CAETÉ,Minério de Ouro Primário,19.00,"313,481.00",Baixa,Alta,B,Sim
Monjolo,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º57'49,103""","-43º14'16,323""",Sul do Equador,MG,SANTA BÁRBARA,Minério de Ferro,23.50,"400,000.00",Baixa,Alta,B,Sim
Mosquito,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º06'19,708""","-43º24'15,056""",Sul do Equador,MG,CATAS ALTAS,Minério de Ferro,11.30,"1,089,830.50",Baixa,Alta,B,Sim
Norte/Laranjeiras,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º50'54,032""","-43º25'18,194""",Sul do Equador,MG,BARÃO DE COCAIS,Minério de Ferro,58.80,"16,550,529.00",Baixa,Alta,B,Sim
Nova Barragem de Santarém,Samarco Mineração S A.,16.628.281/0001-61,"-20º13'50,314""","-43º26'29,842""",Sul do Equador,MG,MARIANA,Itabirito,48.00,"6,940,000.00",Baixa,Alta,B,Sim
Paracatu,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º07'06,227""","-43º24'52,458""",Sul do Equador,MG,CATAS ALTAS,Minério de Ferro,23.00,"36,685.00",Baixa,Média,C,Sim
PDE 3,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º51'50,917""","-43º21'21,130""",Sul do Equador,MG,SÃO GONÇALO DO RIO ABAIXO,Minério de Ferro,34.50,"22,101.00",Baixa,Baixa,E,Sim
PDE Fosforoso,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º09'33,507""","-43º28'09,519""",Sul do Equador,MG,MARIANA,Minério de Ferro,21.00,"20,000.00",Baixa,Baixa,E,Sim
PDE Permanente I,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º11'04,315""","-43º26'15,409""",Sul do Equador,MG,MARIANA,Minério de Ferro,9.50,"30,000.00",Baixa,Alta,B,Sim
PDE Permanente II - Fase I,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º12'26,903""","-43º27'15,839""",Sul do Equador,MG,MARIANA,Minério de Ferro,7.00,"15,000.00",Baixa,Média,C,Sim
Peneirinha,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º06'38,215""","-43º57'49,011""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,40.00,"431,595.59",Baixa,Média,C,Sim
Piabas,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º33'48,506""","-43º12'22,618""",Sul do Equador,MG,ITABIRA,Minério de Ferro,28.00,"1,537,164.00",Baixa,Alta,B,Sim
Pilha Barragem,EXTRATIVA MINERAL LTDA,17.174.889/0001-26,"-20º06'44,700""","-43º54'28,500""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,25.00,"1,830,000.00",Baixa,Baixa,E,Sim
Pontal,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º37'31,668""","-43º10'58,597""",Sul do Equador,MG,ITABIRA,Minério de Ferro,69.00,"226,957,900.00",Baixa,Alta,B,Sim
Porteirinha,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º57'33,134""","-43º23'08,448""",Sul do Equador,MG,SANTA BÁRBARA,Minério de Ferro,31.00,"800,200.00",Baixa,Alta,B,Sim
Principal,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º10'24,600""","-43º36'55,100""",Sul do Equador,MG,SANTA BÁRBARA,Minério de Ferro,20.00,"1,994,773.00",Baixa,Alta,B,Sim
Quinzinho,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º36'26,409""","-43º15'26,118""",Sul do Equador,MG,ITABIRA,Minério de Ferro,16.00,"432,949.00",Baixa,Alta,B,Sim
Rancho Casca,Nacional de Grafite Ltda,21.228.861/0001-00,"-15º55'07,900""","-41º02'20,600""",Sul do Equador,MG,PEDRA AZUL,Xisto,50.00,"17,500,000.00",Baixa,Alta,B,Sim
RAPAUNHA,Anglogold Ashanti Córrego do Sítio Mineração S.a.,18.565.382/0001-66,"-19º57'54,000""","-43º50'29,000""",Sul do Equador,MG,NOVA LIMA,Minério de Ouro Primário,50.50,"8,690,243.00",Baixa,Alta,B,Sim
Rio do Peixe,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º40'27,200""","-43º14'11,100""",Sul do Equador,MG,ITABIRA,Minério de Ferro,31.00,"13,800,000.00",Baixa,Alta,B,Sim
Santa Bárbara,Vallourec Mineração Ltda,22.931.380/0001-10,"-20º09'42,700""","-44º00'22,400""",Sul do Equador,MG,BRUMADINHO,Areia e Cascalho,36.00,"660,278.89",Baixa,Alta,B,Sim
Santana,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º33'18,339""","-43º09'39,105""",Sul do Equador,MG,ITABIRA,Minério de Ferro,52.40,"15,700,000.00",Baixa,Alta,B,Sim
Sul (Córrego do Canal),Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º53'02,310""","-43º23'08,448""",Sul do Equador,MG,SÃO GONÇALO DO RIO ABAIXO,Minério de Ferro,83.00,"53,740,000.00",Baixa,Alta,B,Sim
Sul Inferior,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º58'32,614""","-43º36'02,511""",Sul do Equador,MG,BARÃO DE COCAIS,Minério de Ferro,35.00,"510,361.84",Baixa,Alta,B,Sim
Sul Superior,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º58'12,632""","-43º35'48,721""",Sul do Equador,MG,BARÃO DE COCAIS,Minério de Ferro,85.00,"6,016,849.00",Baixa,Alta,B,Sim
Tanque Específico IX-B,Kinross Brasil Mineração S A,20.346.524/0001-46,"-17º10'26,920""","-46º52'44,750""",Sul do Equador,MG,PARACATU,Minério de Ouro Primário,15.00,"1,010,000.00",Baixa,Média,C,Sim
Tanque Específico X,Kinross Brasil Mineração S A,20.346.524/0001-46,"-17º10'31,570""","-46º53'15,970""",Sul do Equador,MG,PARACATU,Minério de Ouro Primário,15.00,"1,188,168.57",Baixa,Média,C,Sim
Tanque Específico XI,Kinross Brasil Mineração S A,20.346.524/0001-46,"-17º10'20,670""","-46º52'59,920""",Sul do Equador,MG,PARACATU,Minério de Ouro Primário,11.80,"530,359.06",Baixa,Média,C,Sim
Tanque Específico XII,Kinross Brasil Mineração S A,20.346.524/0001-46,"-17º10'56,180""","-46º53'55,680""",Sul do Equador,MG,PARACATU,Minério de Ouro Primário,46.30,"1,749,516.71",Baixa,Média,C,Sim
Taquaras,Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba,33.417.445/0026-89,"-20º02'21,600""","-43º55'44,900""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,25.00,"950,000.00",Baixa,Alta,B,Sim
Timbopeba,Vale S A Filial: Vale Mariana,33.592.510/0412-68,"-20º16'13,852""","-43º29'46,447""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,64.90,"34,000,000.00",Baixa,Alta,B,Sim
Três Fontes,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º37'19,516""","-43º14'02,625""",Sul do Equador,MG,ITABIRA,Minério de Ferro,10.00,"20,500.00",Baixa,Alta,B,Sim
Turmalina,Mineração Turmalina Ltda,01.731.616/0001-03,"-19º44'45,800""","-44º52'27,900""",Sul do Equador,MG,CONCEIÇÃO DO PARÁ,Minério de Ouro Primário,18.00,"682,534.15",Baixa,Alta,B,Sim
Vargem Grande,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º10'54,700""","-43º52'01,200""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,35.00,"9,500,000.00",Baixa,Alta,B,Sim
VI,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º07'08,600""","-44º07'27,900""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,40.00,"843,809.00",Baixa,Alta,B,Sim
VII,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º06'15,400""","-44º07'10,800""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,22.50,"22,200.00",Baixa,Média,C,Sim
